date,open,close,high,low,volume,amount
2021-03-11,56.16,58.17,58.84,55.21,367828.0,6671343360.0
2021-03-12,59.23,57.74,59.84,56.81,301848.0,5517620480.0
2021-03-15,56.69,55.26,57.51,54.51,295602.0,5187723264.0
2021-03-16,56.37,56.0,56.88,54.97,197056.0,3474844992.0
2021-03-17,55.18,56.14,57.17,54.34,213705.0,3770679568.0
2021-03-18,56.77,56.69,57.39,56.27,201064.0,3593541024.0
2021-03-19,54.84,54.23,55.63,53.73,258227.0,4438615808.0
2021-03-22,54.62,55.11,55.67,53.85,185683.0,3221954912.0
2021-03-23,55.78,53.5,55.9,52.61,226649.0,3844462848.0
2021-03-24,53.17,51.42,53.59,51.18,248269.0,4082242400.0
2021-03-25,49.51,50.91,51.66,49.04,256191.0,4082120992.0
2021-03-26,51.51,54.17,54.51,51.48,328530.0,5528686080.0
2021-03-29,53.85,53.21,54.0,52.11,234729.0,3941708912.0
2021-03-30,50.84,53.51,53.51,50.21,338931.0,5574391552.0
2021-03-31,53.58,52.01,54.72,51.36,270153.0,4488285696.0
2021-04-01,53.18,53.53,54.48,52.85,299958.0,5089544704.0
2021-04-02,54.17,55.8,56.58,53.37,349532.0,6083577344.0
2021-04-06,56.11,55.87,56.92,54.78,255910.0,4492985600.0
2021-04-07,56.23,54.17,56.54,53.68,281704.0,4848029952.0
2021-04-08,53.51,54.0,54.34,52.88,160043.0,2723993024.0
2021-04-09,54.48,52.75,54.54,52.51,204996.0,3436476688.0
2021-04-12,52.75,51.66,53.64,51.38,201268.0,3320602672.0
2021-04-13,51.67,51.85,53.05,51.67,158579.0,2617908976.0
2021-04-14,52.84,54.16,54.18,52.84,298473.0,5057752064.0
2021-04-15,53.34,52.34,53.39,51.68,249912.0,4136742976.0
2021-04-16,52.31,52.28,52.64,50.62,234599.0,3837152368.0
2021-04-19,52.18,55.86,56.18,51.9,507351.0,8764759552.0
2021-04-20,55.51,54.26,55.51,53.77,375677.0,6460740608.0
2021-04-21,53.51,53.37,54.04,52.9,230489.0,3880491424.0
2021-04-22,53.84,53.41,54.44,52.92,197508.0,3336754768.0
2021-04-23,52.9,53.59,54.3,52.6,228828.0,3878511216.0
