date,open,high,low,close,volume,amount,pct_chg
2025-11-27,1397.52,1398.02,1387.06,1395.32,22287,3109181.84,-0.13
2025-11-28,1394.52,1403.52,1391.02,1398.52,23211,3246089.72,0.23
2025-12-01,1399.02,1410.29,1390.02,1396.02,27333,3816068.66,-0.18
2025-12-02,1396.02,1399.94,1383.04,1384.05,25047,3465988.95,-0.86
2025-12-03,1383.83,1383.99,1376.02,1377.12,23573,3245518.56,-0.5
2025-12-04,1377.12,1380.52,1366.4,1372.0,29075,3988849.0,-0.37
2025-12-05,1372.0,1381.11,1367.52,1378.03,25402,3501088.06,0.44
2025-12-08,1377.22,1384.69,1366.02,1366.24,33603,4591531.44,-0.86
2025-12-09,1366.25,1369.02,1348.07,1349.03,42634,5753591.72,-1.26
2025-12-10,1348.02,1350.82,1331.2,1350.82,33133,4472611.66,0.13
2025-12-11,1354.68,1360.01,1349.57,1360.01,22385,3043102.85,0.68
2025-12-12,1366.02,1373.02,1361.59,1368.67,37159,5085527.13,0.64
2025-12-15,1387.61,1388.01,1373.59,1374.02,33359,4585081.82,-0.39
2025-12-16,1374.22,1376.8,1363.02,1370.02,23964,3282949.68,-0.29
2025-12-17,1373.02,1387.96,1365.7,1381.12,31382,4332564.32,0.81
2025-12-18,1381.52,1386.9,1374.13,1379.02,17830,2458951.0,-0.15
2025-12-19,1381.98,1384.43,1372.99,1381.98,26509,3663191.22,0.21
2025-12-22,1381.98,1386.12,1378.56,1380.24,20426,2819208.24,-0.13
2025-12-23,1380.24,1384.91,1369.17,1379.84,24507,3380843.04,-0.03
2025-12-24,1376.97,1378.34,1371.98,1372.88,25187,3458722.88,-0.5
2025-12-25,1376.98,1391.46,1373.36,1386.15,23386,3242487.5,0.97
2025-12-26,1386.15,1391.12,1381.98,1386.11,17803,2468102.33,-0.0
2025-12-29,1386.11,1386.11,1372.98,1373.98,26308,3614340.48,-0.88
2025-12-30,1372.98,1373.88,1357.98,1361.7,33792,4601590.4,-0.89
2025-12-31,1361.98,1365.98,1349.15,1349.16,34766,4691755.36,-0.92
2026-01-05,1356.98,1403.86,1356.98,1397.98,70949,9907990.02,3.62
2026-01-06,1404.53,1408.95,1388.51,1399.99,39586,5539798.86,0.14
2026-01-07,1404.86,1406.98,1392.18,1395.34,29684,4141917.04,-0.33
2026-01-08,1395.31,1395.34,1380.12,1384.28,29135,4032727.4,-0.79
2026-01-09,1388.98,1400.58,1387.99,1391.08,29848,4152110.08,0.49
2026-01-12,1391.08,1402.98,1389.08,1395.21,36083,5034752.63,0.3
2026-01-13,1398.77,1401.5,1380.97,1382.98,39169,5418671.02,-0.88
2026-01-14,1382.98,1394.23,1368.16,1369.99,51758,7097267.22,-0.94
2026-01-15,1368.0,1374.81,1360.56,1360.87,40907,5571484.87,-0.67
2026-01-16,1366.98,1369.48,1351.98,1353.98,55121,7466805.98,-0.51
2026-01-19,1353.88,1359.47,1346.98,1347.98,42286,5701995.28,-0.44
2026-01-20,1351.48,1353.56,1344.03,1345.53,36484,4909799.32,-0.18
2026-01-21,1345.54,1346.38,1321.98,1323.04,64516,8540082.56,-1.67
2026-01-22,1323.99,1333.74,1309.46,1312.04,59011,7748916.44,-0.83
2026-01-23,1312.08,1319.98,1304.45,1308.98,61949,8111964.72,-0.23
2026-01-26,1312.49,1326.98,1297.1,1313.98,80166,10537656.68,0.38
2026-01-27,1316.96,1325.68,1309.98,1314.99,48416,6368460.84,0.08
2026-01-28,1315.02,1318.69,1293.99,1295.67,76218,9887180.46,-1.47
2026-01-29,1306.98,1416.98,1301.04,1409.7,189534,26393533.8,8.8
2026-01-30,1406.98,1406.98,1372.98,1372.98,94480,12987485.6,-2.6
2026-02-02,1396.98,1430.56,1383.6,1398.98,85724,11985825.52,1.89
2026-02-03,1416.98,1448.79,1415.01,1446.9,86321,12478504.5,3.43
2026-02-04,1456.98,1505.25,1445.98,1496.98,109123,16316779.34,3.46
2026-02-05,1491.98,1536.98,1486.98,1526.98,91623,13988228.74,2.0
2026-02-06,1526.98,1539.98,1477.86,1486.99,78965,11777047.95,-2.62
2026-02-09,1489.98,1514.86,1485.47,1496.94,51168,7660658.08,0.67
2026-02-10,1496.95,1496.95,1468.48,1476.78,39576,5844058.08,-1.35
2026-02-11,1476.78,1485.98,1467.98,1476.31,30928,4565473.68,-0.03
2026-02-12,1472.18,1474.8,1445.34,1458.58,46246,6748994.68,-1.2
2026-02-13,1458.58,1479.78,1442.56,1457.28,41679,6071259.12,-0.09
2026-02-24,1492.98,1496.38,1435.58,1438.78,41913,6051414.34,-1.27
2026-02-25,1441.98,1481.64,1439.86,1463.64,36881,5401708.44,1.73
2026-02-26,1458.58,1461.47,1436.65,1438.19,32958,4742158.42,-1.74
2026-02-27,1438.97,1448.19,1427.0,1427.0,32160,4589958.0,-0.78
2026-03-02,1421.98,1428.98,1408.64,1412.09,35454,5007178.86,-1.04
2026-03-03,1412.08,1424.85,1394.11,1398.17,45891,6416407.47,-0.99
2026-03-04,1386.98,1394.98,1364.07,1373.16,48014,6595011.04,-1.79
2026-03-05,1377.98,1384.94,1366.98,1371.02,30505,4181846.1,-0.16
2026-03-06,1366.98,1379.48,1359.98,1373.98,29154,4005066.08,0.22
2026-03-09,1361.98,1376.88,1355.18,1368.98,37442,5125615.56,-0.36
2026-03-10,1376.88,1381.47,1369.98,1373.86,24626,3383045.92,0.36
2026-03-11,1374.97,1377.97,1370.0,1371.98,24457,3355592.86,-0.14
2026-03-12,1366.98,1375.93,1362.99,1363.98,27586,3762351.68,-0.58
2026-03-13,1364.46,1389.6,1363.98,1385.62,33608,4655566.16,1.59
2026-03-16,1391.98,1437.98,1391.98,1432.16,60086,8607066.56,3.36
2026-03-17,1439.98,1470.05,1433.17,1456.98,49454,7202854.08,1.73
2026-03-18,1460.98,1468.48,1435.13,1440.78,35551,5126272.98,-1.11
2026-03-19,1444.94,1444.98,1417.98,1424.85,30319,4320639.65,-1.11
2026-03-20,1424.94,1434.48,1410.98,1416.98,26132,3703072.16,-0.55
2026-03-23,1405.31,1406.98,1372.01,1380.05,47256,6523773.6,-2.61
2026-03-24,1387.98,1389.57,1372.16,1379.31,28562,3938725.22,-0.05
2026-03-25,1382.09,1389.85,1372.99,1382.25,26093,3607146.75,0.21
2026-03-26,1380.98,1385.88,1372.28,1373.16,23093,3171059.88,-0.66
2026-03-27,1371.98,1397.98,1368.64,1388.0,30087,4175681.0,1.08
2026-03-30,1378.98,1402.98,1374.5,1391.98,28685,3992304.3,0.29
2026-03-31,1439.98,1451.91,1420.39,1421.98,61691,8789097.38,2.16
2026-04-01,1436.47,1441.97,1424.86,1431.42,29125,4165900.5,-0.38
2026-04-02,1431.42,1436.86,1424.08,1431.86,21064,3015385.44,0.03
2026-04-03,1431.52,1441.94,1426.98,1431.98,20194,2891835.98,0.01
2026-04-07,1432.03,1441.98,1407.03,1412.0,24152,3413551.0,-1.41
2026-04-08,1431.98,1441.06,1424.11,1437.0,33836,4857429.0,1.77
2026-04-09,1437.0,1437.0,1419.48,1432.47,20705,2965849.35,-0.32
2026-04-10,1431.12,1431.69,1413.08,1425.94,28866,4115318.04,-0.46
2026-04-13,1415.98,1418.48,1404.98,1415.29,25214,3564819.54,-0.75
2026-04-14,1414.58,1420.58,1406.98,1418.88,24233,3436827.04,0.25
2026-04-15,1416.96,1442.77,1413.98,1439.48,34553,4971495.32,1.45
2026-04-16,1439.43,1449.39,1431.98,1434.82,24513,3519058.46,-0.32
2026-04-17,1371.98,1392.98,1371.85,1379.22,96825,13380033.0,-3.88
2026-04-20,1374.98,1385.92,1371.98,1382.87,36451,5034803.57,0.26
2026-04-21,1382.98,1391.88,1381.98,1383.99,21754,3010784.46,0.08
2026-04-22,1386.98,1390.98,1376.96,1381.48,26916,3718599.68,-0.18
2026-04-23,1379.98,1391.68,1377.08,1390.98,37701,5240074.98,0.69
2026-04-24,1385.08,1430.86,1385.08,1430.47,55455,7931278.85,2.84
2026-04-27,1391.98,1391.98,1374.18,1375.18,72798,10015752.64,-3.87
2026-04-28,1373.98,1381.37,1372.09,1376.98,34004,4681817.92,0.13
2026-04-29,1376.98,1381.73,1372.26,1373.15,34813,4782163.95,-0.28
2026-04-30,1371.98,1373.15,1351.98,1356.77,52753,7165459.81,-1.19
2026-05-06,1337.08,1350.98,1332.03,1346.98,47806,6435536.88,-0.72
2026-05-07,1346.98,1359.98,1341.99,1343.03,40461,5438866.83,-0.29
2026-05-08,1343.64,1354.75,1341.98,1344.97,33369,4488969.33,0.14
2026-05-11,1344.87,1344.87,1332.98,1333.31,57135,7620430.35,-0.87
2026-05-12,1333.98,1335.56,1322.48,1326.53,50837,6744015.01,-0.51
2026-05-13,1326.48,1330.58,1309.98,1316.07,56968,7500550.36,-0.79
2026-05-14,1309.98,1341.04,1307.16,1314.15,55244,7270488.0,-0.15
2026-05-15,1307.13,1311.26,1299.09,1304.93,58184,7588397.72,-0.7
2026-05-18,1307.98,1314.66,1291.59,1294.98,49661,6433783.68,-0.76
2026-05-19,1293.88,1301.97,1289.98,1296.28,43255,5605168.4,0.1
2026-05-20,1292.98,1304.97,1285.98,1286.98,47487,6113452.86,-0.72
2026-05-21,1284.96,1295.5,1282.98,1282.98,38868,4990148.64,-0.31
2026-05-22,1282.93,1283.89,1262.1,1262.18,49157,6206013.86,-1.62
2026-05-25,1258.98,1276.77,1248.98,1257.86,46353,5829300.18,-0.34
2026-05-26,1257.33,1261.87,1241.99,1245.36,45932,5722366.32,-0.99
2026-05-27,1240.0,1290.98,1222.08,1274.98,82728,10503238.44,2.38
2026-05-28,1261.98,1275.98,1242.98,1247.96,45890,5733432.88,-2.12
2026-05-29,1242.58,1300.98,1241.98,1297.98,76478,9915498.64,4.01
2026-06-01,1298.98,1298.98,1273.29,1281.58,43845,5615800.8,-1.26
2026-06-02,1277.98,1298.34,1272.98,1279.2,36362,4650171.4,-0.19
2026-06-03,1275.98,1275.98,1247.98,1253.89,52477,6581071.63,-1.98
2026-06-04,1250.97,1260.97,1238.67,1239.98,33506,4156961.88,-1.11
2026-06-05,1249.98,1254.98,1239.72,1244.84,31304,3897061.76,0.39
2026-06-08,1243.98,1249.98,1231.98,1234.96,30828,3807262.88,-0.79
2026-06-09,1234.97,1234.98,1224.53,1227.98,27860,3420453.2,-0.57
2026-06-10,1224.06,1253.98,1222.19,1247.86,39244,4894239.44,1.62
2026-06-11,1244.1,1254.86,1238.89,1250.98,25352,3169759.76,0.25
2026-06-12,1243.16,1266.98,1236.99,1263.89,50495,6375009.55,1.03
2026-06-15,1264.68,1264.68,1242.08,1243.08,41586,5170476.88,-1.65
2026-06-16,1238.99,1239.86,1226.98,1227.65,34970,4293217.5,-1.24
2026-06-17,1229.98,1231.75,1210.54,1211.98,44803,5432879.54,-1.28
2026-06-18,1206.98,1210.85,1183.2,1186.98,57472,6824318.56,-2.06
2026-06-22,1186.29,1224.78,1176.98,1213.39,58251,7040071.89,2.22
2026-06-23,1210.98,1235.98,1188.98,1194.43,58004,6953873.72,-1.56
2026-06-24,1194.63,1213.85,1179.49,1179.66,45335,5354036.1,-1.24
2026-06-25,1178.98,1198.98,1171.98,1184.08,48446,5735495.68,0.37
2026-06-26,1199.0,1199.0,1168.1,1168.63,50066,5855895.18,-1.3
2026-06-29,1169.0,1215.0,1151.01,1194.96,66878,7957965.28,2.25
2026-06-30,1187.0,1195.67,1176.0,1185.49,39608,4696153.52,-0.79
2026-07-01,1180.1,1196.8,1166.33,1193.01,42474,5063071.88,0.63
2026-07-02,1193.01,1215.52,1190.51,1203.0,50870,6114165.0,0.84
2026-07-03,1205.24,1210.14,1185.0,1194.45,34268,4092456.0,-0.71
2026-07-06,1186.0,1215.0,1180.0,1206.91,40970,4937135.91,1.04
2026-07-07,1200.0,1202.0,1188.11,1188.8,27365,3255432.8,-1.5
2026-07-08,1188.77,1200.98,1177.0,1199.3,25776,3086715.4,0.88
